name,details,link
Daisy,Young Female Terrier Mix,https://www.petfinder.com/dog/daisy-50298020/il/buffalo-grove/treasured-animal-rescue-inc-il879/
Titi,Young Female Beagle & Border Collie Mix,https://www.petfinder.com/dog/titi-54530438/il/barrington-hills/fur-keeps-animal-rescue-inc-il370/
Bear,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/bear-55094540/il/gilberts/project-hope-animal-rescue-il976/
Sabarka,Young Male Labrador Retriever & Doberman Pinscher Mix,https://www.petfinder.com/dog/sabarka-53769116/il/gilberts/home-sweet-home-pet-rescue-il873/
Gordo ,Young Male Labrador Retriever Mix,https://www.petfinder.com/dog/gordo-54558597/il/highland-park/chicagoland-lab-rescue-il734/
Ruby Tuesday ,Young Female Beagle Mix,https://www.petfinder.com/dog/ruby-tuesday-55192271/in/hammond/houndsong-rescue-in53/
DAISY,Young Female German Shepherd Dog,https://www.petfinder.com/dog/daisy-55203092/il/lake-in-the-hills/chi-paw-rescue-inc-il978/
Shiloh,Young Female Labrador Retriever & Hound Mix,https://www.petfinder.com/dog/shiloh-55152107/il/lake-in-the-hills/bark-of-an-angel-dog-rescueinc-il951/
Pumkin,Young Female Terrier Mix,https://www.petfinder.com/dog/pumkin-55170269/il/crete/dogs-are-deserving-il822/
Mowgli,Young Male Siberian Husky,https://www.petfinder.com/dog/mowgli-53447993/il/crystal-lake/forever-husky-il-il772/
River,Young Male Shepherd & Australian Cattle Dog / Blue Heeler Mix,https://www.petfinder.com/dog/river-54609920/il/crystal-lake/paws-and-affect-animal-rescue-il943/
Valo,Young Male Shepherd Mix,https://www.petfinder.com/dog/valo-54696437/in/dyer/day-of-the-dogs-in740/
Freckles,Young Male Pointer & Labrador Retriever Mix,https://www.petfinder.com/dog/freckles-53195417/in/dyer/day-of-the-dogs-in740/
Shooter,Young Male Beagle,https://www.petfinder.com/dog/shooter-55246287/il/huntley/animal-house-shelter-il192/
Coby,Young Male Beagle,https://www.petfinder.com/dog/coby-55246141/il/huntley/animal-house-shelter-il192/
Bonnie,Young Female Airedale Terrier & Husky Mix,https://www.petfinder.com/dog/bonnie-55229866/il/huntley/animal-house-shelter-il192/
Buddha,Young Male Bloodhound & German Shepherd Dog Mix,https://www.petfinder.com/dog/buddha-55206415/il/huntley/animal-house-shelter-il192/
Bear,Young Male Bloodhound & German Shepherd Dog Mix,https://www.petfinder.com/dog/bear-55206280/il/huntley/animal-house-shelter-il192/
Skeeter,Young Male Husky & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/skeeter-55203590/il/huntley/animal-house-shelter-il192/
Rain,Young Female Yellow Labrador Retriever & Vizsla Mix,https://www.petfinder.com/dog/rain-55183801/il/huntley/animal-house-shelter-il192/
Brooke,Young Female American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/brooke-55183672/il/huntley/animal-house-shelter-il192/
Kira,Young Male Black Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/kira-55183433/il/huntley/animal-house-shelter-il192/
Berry,Young Male American Staffordshire Terrier & Pointer Mix,https://www.petfinder.com/dog/berry-55177349/il/huntley/animal-house-shelter-il192/
Froggy,Young Male American Staffordshire Terrier & Bull Terrier Mix,https://www.petfinder.com/dog/froggy-55163844/il/huntley/animal-house-shelter-il192/
Severin,Young Male German Shepherd Dog & Collie Mix,https://www.petfinder.com/dog/severin-55095881/il/huntley/animal-house-shelter-il192/
Witty,Young Male American Staffordshire Terrier & Pointer Mix,https://www.petfinder.com/dog/witty-55082040/il/huntley/animal-house-shelter-il192/
Flash,Young Male Black Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/flash-55073793/il/huntley/animal-house-shelter-il192/
Annie,Young Female Yellow Labrador Retriever & Pointer Mix,https://www.petfinder.com/dog/annie-54986290/il/huntley/animal-house-shelter-il192/
Thomas,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/thomas-54985877/il/huntley/animal-house-shelter-il192/
DeeDee,Young Female American Staffordshire Terrier & Plott Hound Mix,https://www.petfinder.com/dog/deedee-54902734/il/huntley/animal-house-shelter-il192/
Arty,Young Male Black Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/arty-54900192/il/huntley/animal-house-shelter-il192/
Luna,Young Female Chocolate Labrador Retriever & Chesapeake Bay Retriever Mix,https://www.petfinder.com/dog/luna-54788700/il/huntley/animal-house-shelter-il192/
Benny,Young Male Boxer & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/benny-54788489/il/huntley/animal-house-shelter-il192/
Mason,Young Male Treeing Walker Coonhound,https://www.petfinder.com/dog/mason-54786181/il/huntley/animal-house-shelter-il192/
Ivan,Young Male Anatolian Shepherd,https://www.petfinder.com/dog/ivan-54757686/il/huntley/animal-house-shelter-il192/
Ellie,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/ellie-54757381/il/huntley/animal-house-shelter-il192/
Baxter,Young Male Black Labrador Retriever & Doberman Pinscher Mix,https://www.petfinder.com/dog/baxter-54714819/il/huntley/animal-house-shelter-il192/
