name,details,link,img
Raven,Young Female German Shepherd Dog,https://www.petfinder.com/dog/raven-54929161/il/joliet/all-herding-breed-dog-rescue-il728/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54929161/1/?bust=1646937719&width=300
Frankie,Young Female Australian Cattle Dog / Blue Heeler & Terrier Mix,https://www.petfinder.com/dog/frankie-54753271/il/joliet/all-herding-breed-dog-rescue-il728/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54753271/1/?bust=1645808470&width=300
Blue,Young Male Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/blue-54348710/il/joliet/all-herding-breed-dog-rescue-il728/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54348710/1/?bust=1642959509&width=300
FOSTER ME Jax,Young Male Shepherd & Retriever Mix,https://www.petfinder.com/dog/foster-me-jax-55295857/il/oswego/rescued-rascals-il937/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55295857/1/?bust=1649891317&width=300
Boise,Young Male Husky Mix,https://www.petfinder.com/dog/boise-55282938/il/oswego/rescued-rascals-il937/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55282938/1/?bust=1649789146&width=300
Ringo,Young Male Border Collie & Labrador Retriever Mix,https://www.petfinder.com/dog/ringo-55274566/il/oswego/rescued-rascals-il937/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55274566/1/?bust=1649713297&width=300
Ava,Young Female Labrador Retriever & Terrier Mix,https://www.petfinder.com/dog/ava-55253498/il/oswego/a-journey-home-il877/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55253498/1/?bust=1649469280&width=300
Sheba,Young Female Husky & Shepherd Mix,https://www.petfinder.com/dog/sheba-55222532/il/oswego/rescued-rascals-il937/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55222532/1/?bust=1649213077&width=300
Square,Young Female Shepherd & Tennessee Treeing Brindle Mix,https://www.petfinder.com/dog/square-55222447/il/oswego/rescued-rascals-il937/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55222447/1/?bust=1649210950&width=300
Bandit,Young Male Labrador Retriever & Husky Mix,https://www.petfinder.com/dog/bandit-54936512/il/chicago/pals-place-il174/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54936512/1/?bust=1646977376&width=300
Bandit (Loves fetch!),Young Male Boxer & Husky Mix,https://www.petfinder.com/dog/bandit-loves-fetch-54330859/il/chicago/pals-place-il174/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54330859/1/?bust=1644606575&width=300
Milo,Young Male Australian Cattle Dog / Blue Heeler & Beagle Mix,https://www.petfinder.com/dog/milo-54084129/il/joliet/pawsitive-impact-pet-rescue-il852/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54084129/1/?bust=1641170706&width=300
Kashi,Young Male Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/kashi-54084118/il/joliet/pawsitive-impact-pet-rescue-il852/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54084118/1/?bust=1641170455&width=300
FLASH,Young Male Rottweiler,https://www.petfinder.com/dog/flash-55218308/il/oswego/recycled-rotts-il105/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55218308/1/?bust=1649187747&width=300
Rocket ,Young Male Labrador Retriever & Cattle Dog Mix,https://www.petfinder.com/dog/rocket-55211891/il/mokena/naws-humane-society-il391/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55211891/1/?bust=1649167043&width=300
Merle,Young Male Terrier Mix,https://www.petfinder.com/dog/merle-55051878/il/mokena/naws-humane-society-il391/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55051878/1/?bust=1647871228&width=300
Hemingway,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/hemingway-54488974/il/mokena/naws-humane-society-il391/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54488974/1/?bust=1643838193&width=300
Roscoe,Young Male Hound Mix,https://www.petfinder.com/dog/roscoe-54339611/il/mokena/naws-humane-society-il391/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339611/1/?bust=1642884644&width=300
Sampson,Young Male Terrier Mix,https://www.petfinder.com/dog/sampson-54200602/il/mokena/naws-humane-society-il391/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54200602/1/?bust=1642083465&width=300
Lindsey,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/lindsey-53955423/il/mokena/naws-humane-society-il391/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53955423/1/?bust=1639951475&width=300
Stella,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/stella-52782506/il/mokena/naws-humane-society-il391/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52782506/2/?bust=1644692340&width=300
Gene  adoption pending!,Young Male Husky & Great Dane Mix,https://www.petfinder.com/dog/gene-adoption-pending-53974095/il/chicago/blind-dog-rescue-alliance-ct-ct407/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53974095/1/?bust=1640114897&width=300
Tetra,Young Male Mixed Breed,https://www.petfinder.com/dog/tetra-55188208/il/chicago/paws-chicago-il72/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55188208/1/?bust=1648913243&width=300
Harmony,Young Female German Shepherd Dog,https://www.petfinder.com/dog/harmony-55206728/il/chicago/german-shepherd-rescue-inc-il273/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55206728/4/?bust=1649121267&width=300
Diamond ,Young Female German Shepherd Dog,https://www.petfinder.com/dog/diamond-55206615/il/chicago/german-shepherd-rescue-inc-il273/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55206615/3/?bust=1649696215&width=300
Krow ,Young Male German Shepherd Dog,https://www.petfinder.com/dog/krow-54937588/il/chicago/german-shepherd-rescue-inc-il273/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54937588/1/?bust=1647005712&width=300
Adele ,Young Female German Shepherd Dog,https://www.petfinder.com/dog/adele-54556173/il/chicago/german-shepherd-rescue-inc-il273/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54556173/3/?bust=1648519436&width=300
Beauty D.,Young Female German Shepherd Dog,https://www.petfinder.com/dog/beauty-d-54414226/il/chicago/german-shepherd-rescue-inc-il273/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54414226/3/?bust=1645118312&width=300
Bridge,Young Male Cattle Dog Mix,https://www.petfinder.com/dog/bridge-55247437/il/elgin/charming-pet-rescue-tx2043/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55247437/1/?bust=1649434827&width=300
Benny,Young Male Cattle Dog Mix,https://www.petfinder.com/dog/benny-55012612/il/elgin/charming-pet-rescue-tx2043/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55012612/1/?bust=1647545996&width=300
